GLOBAL.UNIQUE.IDENTIFIER,LAST.EDITED.DATE,TAXONOMIC.ORDER,CATEGORY,TAXON.CONCEPT.ID,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME,EXOTIC.CODE,OBSERVATION.COUNT,BREEDING.CODE,BREEDING.CATEGORY,BEHAVIOR.CODE,AGE.SEX,COUNTRY,COUNTRY.CODE,STATE,STATE.CODE,COUNTY,COUNTY.CODE,IBA.CODE,BCR.CODE,USFWS.CODE,ATLAS.BLOCK,LOCALITY,LOCALITY.ID,LOCALITY.TYPE,LATITUDE,LONGITUDE,OBSERVATION.DATE,TIME.OBSERVATIONS.STARTED,OBSERVER.ID,SAMPLING.EVENT.IDENTIFIER,PROTOCOL.TYPE,PROTOCOL.CODE,PROJECT.CODE,DURATION.MINUTES,EFFORT.DISTANCE.KM,EFFORT.AREA.HA,NUMBER.OBSERVERS,ALL.SPECIES.REPORTED,GROUP.IDENTIFIER,HAS.MEDIA,APPROVED,REVIEWED,REASON,TRIP.COMMENTS,SPECIES.COMMENTS,X
URN:CornellLabOfOrnithology:EBIRD:OBS400108826,25:29.5,28387,species,avibase-AD492108,White-rumped Shama,Copsychus malabaricus,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Thattekkad Bird Sanctuary--General Area,L3789514,H,10.1299765,76.6880089,5/9/1999,7:00:00,obsr588597,S29507528,Traveling,P22,EBIRD,480,4.828,NA,1,0,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS400107449,12/30/2016 6:53,28798,species,avibase-1C4DA989,Malabar Whistling-Thrush,Myophonus horsfieldii,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Idukki,IN-KL-ID,NA,NA,NA,NA,Periyar Tiger Reserve--Thekkady,L4199766,H,9.5788939,77.1806878,5/16/1999,6:00:00,obsr588597,S29507434,Traveling,P22,EBIRD,720,8.047,NA,1,0,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS400108006,33:59.1,28423,species,avibase-76F3C885,White-bellied Sholakili,Sholicola albiventris,NA,NA,NA,3,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Idukki,IN-KL-ID,NA,NA,NA,NA,Eravikulam NP--Parking,L4074630,H,10.1366709,77.0573607,5/11/1999,9:00:00,obsr588597,S29507475,Traveling,P22,EBIRD,480,32.187,NA,1,0,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS514081545,6/26/2017 23:02,7575,species,avibase-97C47F3E,Black-winged Kite,Elanus caeruleus,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Alappuzha,IN-KL-AL,NA,NA,NA,NA,Kuttanad Wetlands (Lower Kuttanad) - Poopally,L6020877,P,9.4459804,76.3992704,8/4/1999,NA,obsr444916,S37809722,Incidental,P20,EBIRD,NA,NA,NA,1,0,NA,0,1,1,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS514081546,6/26/2017 23:02,7263,species,avibase-CBDC8AA3,Cinnamon Bittern,Ixobrychus cinnamomeus,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Alappuzha,IN-KL-AL,NA,NA,NA,NA,Kuttanad Wetlands (Lower Kuttanad) - Poopally,L6020877,P,9.4459804,76.3992704,8/4/1999,NA,obsr444916,S37809722,Incidental,P20,EBIRD,NA,NA,NA,1,0,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199531,8/27/2020 13:44,19243,species,avibase-D10DF10F,Ashy Woodswallow,Artamus fuscus,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199533,8/27/2020 13:44,30260,species,avibase-03DE2091,Baya Weaver,Ploceus philippinus,NA,NA,NA,20,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199542,8/27/2020 13:44,19938,species,avibase-D90F9B0B,Black Drongo,Dicrurus macrocercus,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199537,8/27/2020 13:44,19195,species,avibase-E931F073,Black-hooded Oriole,Oriolus xanthornus,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199529,8/27/2020 13:44,5912,species,avibase-CE89BE6D,Bronze-winged Jacana,Metopidius indicus,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199540,8/27/2020 13:44,9547,species,avibase-9505E03D,Common Kingfisher,Alcedo atthis,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199535,8/27/2020 13:44,27278,species,avibase-F23A2F38,Common Myna,Acridotheres tristis,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199538,8/27/2020 13:44,7376,species,avibase-E5E0B92F,Indian Pond-Heron,Ardeola grayii,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
