Accepted_name,Family,Author,SuccessionalStatus,DispersalMode,Zoochorous.Tadwalkar_etal.,Habit,Comment_successional.status
Dichapetalum_gelonioides,Dichapetalaceae,(Roxb.) Engl.,O,Bird/Mammal,Z,Shrub,
Dimocarpus_longan,Sapindaceae,Lour.,O,Mammal,,Tree,
Tritaxis_beddomei,Euphorbiaceae,Benth.,O,Gravity,,Tree,
Diospyros_candolleana,Ebenaceae,Wight,O,Mammal,,Tree,
Diospyros_montana,Ebenaceae,Roxb.,O,Mammal,,Tree,
Diospyros_nilagirica,Ebenaceae,Bedd.,O,Mammal,,Tree,
Diospyros_pruriens,Ebenaceae,Dalzell,O,Unknown,,Tree,Understorey tree in wet evergreen forests 
Diospyros_saldanhae,Ebenaceae,Kosterm.,O,Unknown,,Tree,Understorey tree in evergreen forests
Diospyros_nilagirica,Ebenaceae,Bedd.,O,Mammal,,Tree,
Drypetes_oblongifolia,Putranjivaceae,(Bedd.) Airy Shaw,O,Gravity,,Tree,
Dysoxylum_malabaricum,Meliaceae,Bedd. ex C.DC.,O,Bird,,Tree,
Elaeocarpus_serratus,Elaeocarpaceae,L.,O,Mammal,,Tree,
Elaeocarpus_tuberculatus,Elaeocarpaceae,Roxb.,O,Mammal,,Tree,
Elaeagnus_conferta,Elaeagnaceae,Roxb.,Unknown,Bird/Mammal,Z,Climber,
Eugenia_aloysii,Myrtaceae,C.J.Saldanha,E,Mammal_bird,,Tree,Trees in exposed evergreen forests
Eugenia_aloysii,Myrtaceae,C.J.Saldanha,E,Mammal_bird,,Tree,Trees in exposed evergreen forests
Eurya_nitida,Pentaphylacaceae,Korth.,E,Unknown,,Tree,Along margin of medium and high elevation evergreen forests
Excoecaria_oppositifolia,Euphorbiaceae,Griff.,O,Gravity,,Tree,
Excoecaria_oppositifolia,Euphorbiaceae,Griff.,O,Gravity,,Tree,
Ficus_beddomei,Moraceae,King,O,Mammal,,Tree,Canopy trees in wet evergreen forests 
Ficus_exasperata,Moraceae,Vahl,E,Mammal_bird,,Tree,
Ficus_hispida,Moraceae,L.fil.,E,Mammal_bird,,Tree,
Ficus_nervosa,Moraceae,B.Heyne ex Roth,O,Mammal_bird,,Tree,
Ficus_virens,Moraceae,W.T.Aiton,E,Mammal_bird,,Tree,
Flacourtia_montana,Salicaceae,J.Graham,O,Bird,,Tree,
Garcinia_gummi-gutta,Clusiaceae,(L.) N.Robson,O,Mammal,,Tree,
Garcinia_morella,Clusiaceae,(Gaertn.) Desr.,O,Mammal,,Tree,
Glochidion_ellipticum,Phyllanthaceae,Wight,O,Gravity,,Tree,
Glycosmis_macrocarpa,Rutaceae,Wight,E,Mammal,,Tree,
Glycosmis_macrocarpa,Rutaceae,Wight,E,Mammal,,Tree,
Goniothalamus_cardiopetalus,Annonaceae,(Dalzell) Hook.f. & Thomson,O,Unknown,,Tree,Understorey tree in low and medium elevation evergreen forests
Unidentified_grewia,Malvaceae,NA,Unknown,Unknown,,Shrub,
Helicia_nilagirica,Proteaceae,Bedd.,O,Bird,,Tree,Understorey trees in evergreen forests 
Heritiera_papilio,Malvaceae,Bedd.,O,Wind,,Tree,
Heynea_trijuga,Meliaceae,Roxb. ex Sims,E,Bird,,Tree,
Holigarna_arnottiana,Anacardiaceae,Hook.f.,O,Mammal,,Tree,
Holigarna_grahamii,Anacardiaceae,(Wight) Kurz,O,Mammal,,Tree,
Holigarna_nigra,Anacardiaceae,Bourd.,O,Mammal,,Tree,Canopy trees in low and medium elevation wet evergreen forests 
Hopea_canarensis,Dipterocarpaceae,Hole,O,Wind,,Tree,Canopy trees in medium elevation evergreen forests 
Humboldtia_brunonis,Fabaceae,Wall. ,O,Gravity,,Tree,Common understorey tree in low elevation wet evergreen forests 
Excoecaria_oppositifolia,Euphorbiaceae,Griff.,O,Gravity,,Tree,
Ixora_brachiata,Rubiaceae,Roxb.,E,Bird,,Tree,Understorey trees in disturbed evergreen to semi-evergreen forests
Ixora_brachiata,Rubiaceae,Roxb.,E,Bird,Z,Tree,Understorey trees in disturbed evergreen to semi-evergreen forests
Knema_attenuata,Myristicaceae,(Hook.fil. & Thomson) Warb.,O,Bird,,Tree,
Lagerstroemia_microcarpa,Lythraceae,Wight,E,Wind,,Tree,Common in deciduous and semi-evergreen forests and found occasionally along margins and opening of evergreen forests
Lasianthus_parvifolius,Rubiaceae,Wight,O,Bird,,Shrub,Understorey trees in evergreen forests
Leea_indica,Vitaceae,(Burm.fil.) Merr.,E,Bird/Mammal,Z,Shrub,
Ligustrum_robustum,Oleaceae, (Roxb.) Blume,E,Bird/Mammal,Z,Tree,Along margin of semi-evergreen forests
Litsea_floribunda,Lauraceae,(Blume) Gamble,E,Bird,,Tree,
Litsea_laevigata,Lauraceae,(Nees) Gamble,O,Bird,,Tree,Common understorey trees in low and medium elevation evergreen forests
Litsea_mysorensis,Lauraceae,Gamble,O,Bird,,Tree,Understorey trees in low to high elevation evergreen forests 
Litsea_oleoides,Lauraceae,Gamble,O,Bird,,Tree,
Cryptocarya_wightiana,Lauraceae,Thwaites,O,Bird,,Tree,
Litsea_stocksii,Lauraceae,(Meisn.) Hook.f.,Unknown,Bird,,Tree,"In moist evergreen forest, dry evergreen forest"
Luvunga_sarmentosa ,Rutaceae,(Blume) Kurz,Unknown,Unknown,,Climber,
Luvunga_sarmentosa ,Rutaceae,(Blume) Kurz,Unknown,Unknown,,Climber,
Luvunga_sarmentosa ,Rutaceae,(Blume) Kurz,Unknown,Unknown,,Climber,
Macaranga_peltata,Euphorbiaceae,(Roxb.) Müll.Arg.,E,Mammal_bird,,Tree,
Maesa_indica,Primulaceae,(Roxb.) A.DC.,E,Mammal_bird,,Shrub,
Mallotus_resinosus,Euphorbiaceae,(Blanco) Merr.,O,Gravity,,Tree,
Mallotus_philippensis,Euphorbiaceae,(Lam.) Müll.Arg.,O,Bird,,Tree,Common understorey trees in evergreen to semi-evergreen forests
Mallotus_tetracoccus,Euphorbiaceae,(Roxb.) Kurz,E,Bird,,Tree,
Mangifera_indica,Anacardiaceae,L.,O,Mammal,,Tree,
Margaritaria_indica,Phyllanthaceae,(Dalzell) Airy Shaw,O,Gravity,,Tree,Canopy trees in semi-evergreen to evergreen forests
Mastixia_arborea,Nyssaceae,(Wight) C.B.Clarke,O,Mammal_bird,,Tree,
Meiogyne_pannosa,Annonaceae,(Dalzell) J.Sinclair,O,Bird,,Tree,
Melicope_lunuankenda,Rutaceae,(Gaertn.) T.G.Hartley,E,Mammal,,Tree,
Memecylon_wightii,Melastomataceae,Thwaites,O,Bird,,Tree,"Undergrowth in wet evergreen forests,"
