Sr.no.,SAMPLE_ID,Reserve,TYPED,ALL_SNPs,SNP.Typed,Individual.Identified,Kill.ID,Season,Kill.Days,Age,Smell,Maggots,Flies,Rain,Consumption,Decomposition,Canopy,Sample.Type,Sample.Category,COLLECTOR
457,C04-BTR21-125-SH02,Bandhavgarh,53,95,51,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
458,C04-BTR21-125-SH02,Bandhavgarh,53,95,51,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
459,C04-BTR21-125-SH03,Bandhavgarh,64,95,60,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
460,C04-BTR21-125-SH03,Bandhavgarh,64,95,60,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
461,C04-BTR21-125-SH04,Bandhavgarh,58,95,55,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
462,C04-BTR21-125-SH04,Bandhavgarh,58,95,55,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
463,C04-BTR21-125-SH05,Bandhavgarh,67,95,64,1,C04-BTR21-125,Winter,2,8.5,Low,None,Low,No,65,Decay,25,SHED HAIR,Post predation,ROUNAK
467,C04-BTR21-126-SH01,Bandhavgarh,43,95,41,0,C04-BTR21-126,Winter,4,9.5,Low,None,Low,No,95,Eaten,0,SHED HAIR,Post predation,ROUNAK
468,C04-BTR21-126-SH02,Bandhavgarh,24,95,23,0,C04-BTR21-126,Winter,4,9.5,Low,None,Low,No,95,Eaten,0,SHED HAIR,Post predation,ROUNAK
469,C04-BTR21-126-SH03,Bandhavgarh,58,95,55,1,C04-BTR21-126,Winter,4,9.5,Low,None,Low,No,95,Eaten,0,SHED HAIR,Predation,ROUNAK
470,C04-BTR21-127-SH01,Bandhavgarh,3,95,3,0,C04-BTR21-127,Winter,1,5.5,Low,None,None,No,45,Fresh,75,SHED HAIR,Predation,ROUNAK
471,C04-BTR21-127-SH02,Bandhavgarh,0,95,0,0,C04-BTR21-127,Winter,1,5.5,Low,None,None,No,45,Fresh,75,SHED HAIR,Post predation,ROUNAK
472,C04-BTR21-127-SH03,Bandhavgarh,42,95,41,0,C04-BTR21-127,Winter,1,5.5,Low,None,None,No,45,Fresh,75,SHED HAIR,Post predation,ROUNAK
473,C04-BTR21-127-SH04,Bandhavgarh,73,95,69,1,C04-BTR21-127,Winter,1,5.5,Low,None,None,No,45,Fresh,75,SHED HAIR,Post predation,ROUNAK
475,C04-BTR21-127-SH06,Bandhavgarh,27,95,27,0,C04-BTR21-127,Winter,2,5.5,Low,None,None,No,75,Eaten,75,SHED HAIR,Post predation,ROUNAK
479,C04-BTR21-129-SH01,Bandhavgarh,34,95,33,0,C04-BTR21-129,Winter,2,7.5,Low,None,Low,No,15,Bloated,15,SHED HAIR,Post predation,ROUNAK
482,C04-BTR21-130-SH01,Bandhavgarh,35,95,33,0,C04-BTR21-130,Winter,2,7.5,Low,None,None,No,95,Dry/eaten,25,SHED HAIR,Predation,ROUNAK
483,C04-BTR21-130-SH02,Bandhavgarh,76,95,71,1,C04-BTR21-130,Winter,2,7.5,Low,None,None,No,95,Dry/eaten,25,SHED HAIR,Post predation,ROUNAK
486,C04-BTR21-131-SH01,Bandhavgarh,67,95,63,1,C04-BTR21-131,Winter,1,7.5,Low,None,Medium,No,45,Fresh,25,SHED HAIR,Predation,ROUNAK
493,C04-BTR21-132-SH01,Bandhavgarh,76,95,70,1,C04-BTR21-132,Winter,2,7.5,Low,None,Low,No,85,Eaten,15,SHED HAIR,Post predation,ROUNAK
494,C04-BTR21-132-SH02,Bandhavgarh,24,95,22,0,C04-BTR21-132,Winter,2,7.5,Low,None,Low,No,85,Eaten,15,SHED HAIR,Post predation,ROUNAK
495,C04-BTR21-132-SH03,Bandhavgarh,0,95,0,0,C04-BTR21-132,Winter,2,7.5,Low,None,Low,No,85,Eaten,15,SHED HAIR,Predation,ROUNAK
499,C04-BTR21-94-SH01,Bandhavgarh,69,95,64,1,C04-BTR21-094,Monsoon,2,6.5,Low,Low,Low,No,95,Eaten,5,SHED HAIR,Post predation,ROUNAK
500,C04-BTR21-94-SH02,Bandhavgarh,80,95,75,1,C04-BTR21-094,Monsoon,2,6.5,Low,Low,Low,No,95,Eaten,5,SHED HAIR,Post predation,ROUNAK
501,C04-BTR21-94-SH03,Bandhavgarh,62,95,58,1,C04-BTR21-094,Monsoon,2,6.5,Low,Low,Low,No,95,Eaten,5,SHED HAIR,Post predation,ROUNAK
502,C04-BTR21-94-SH04,Bandhavgarh,64,95,60,1,C04-BTR21-094,Monsoon,2,6.5,Low,Low,Low,No,95,Eaten,5,SHED HAIR,Predation,ROUNAK
503,C04-BTR21-95-SH01,Bandhavgarh,4,95,4,0,C04-BTR21-095,Monsoon,2,7.5,Low,Low,Low,No,65,Bloated,5,SHED HAIR,Predation,ROUNAK
504,C04-BTR21-95-SH02,Bandhavgarh,67,95,63,1,C04-BTR21-095,Monsoon,2,7.5,Low,Low,Low,No,65,Bloated,5,SHED HAIR,Post predation,ROUNAK
505,C04-BTR21-95-SH03,Bandhavgarh,38,95,36,0,C04-BTR21-095,Monsoon,2,7.5,Low,Low,Low,No,65,Bloated,5,SHED HAIR,Post predation,ROUNAK
506,C04-BTR21-97-SH01,Bandhavgarh,60,95,56,1,C04-BTR21-097,Monsoon,1,7.5,Low,None,Low,No,15,Fresh,5,SHED HAIR,Post predation,ROUNAK
507,C04-BTR21-97-SH02,Bandhavgarh,69,95,65,1,C04-BTR21-097,Monsoon,1,7.5,Low,None,Low,No,15,Fresh,5,SHED HAIR,Post predation,ROUNAK
508,C04-BTR21-97-SH03,Bandhavgarh,0,95,0,0,C04-BTR21-097,Monsoon,1,7.5,Low,None,Low,No,15,Fresh,5,SHED HAIR,Predation,ROUNAK
509,C04-BTR21-97-SH04,Bandhavgarh,0,95,0,0,C04-BTR21-097,Monsoon,1,7.5,Low,None,Low,No,15,Fresh,5,SHED HAIR,Post predation,ROUNAK
510,C04-BTR21-99-SH01,Bandhavgarh,97,95,85,1,C04-BTR21-99,Monsoon,2,6.5,Low,None,Low,No,55,Fresh,15,SHED HAIR,Predation,ROUNAK
511,C04-BTR21-99-SH02,Bandhavgarh,101,95,91,1,C04-BTR21-99,Monsoon,2,6.5,Low,None,Low,No,55,Fresh,15,SHED HAIR,Post predation,ROUNAK
512,C04-BTR21-99-SH03,Bandhavgarh,71,95,67,1,C04-BTR21-99,Monsoon,2,6.5,Low,None,Low,No,55,Fresh,15,SHED HAIR,Post predation,ROUNAK
513,C04-BTR21-99-SH04,Bandhavgarh,103,95,91,1,C04-BTR21-99,Monsoon,2,6.5,Low,None,Low,No,55,Fresh,15,SHED HAIR,Post predation,ROUNAK
514,C04-BTR22-133-SH01,Bandhavgarh,53,95,50,1,C04-BTR22-133,Winter,2,7.5,Low,None,Low,No,65,Bloated,25,SHED HAIR,Predation,ROUNAK
517,C04-BTR22-134-SH01,Bandhavgarh,6,95,6,0,C04-BTR22-134,Winter,2,8.5,Low,None,Medium,No,35,Fresh,85,SHED HAIR,Post predation,ROUNAK
520,C04-BTR22-135-SH01,Bandhavgarh,46,95,42,0,C04-BTR22-135,Winter,2,7.5,Low,None,Low,No,65,Fresh,65,SHED HAIR,Post predation,ROUNAK
521,C04-BTR22-135-SH02,Bandhavgarh,54,95,50,1,C04-BTR22-135,Winter,2,7.5,Low,None,Low,No,65,Fresh,65,SHED HAIR,Post predation,ROUNAK
528,C04-BTR22-136-SH01,Bandhavgarh,59,95,55,1,C04-BTR22-136,Winter,3,8.5,Low,None,Medium,No,45,Fresh,0,SHED HAIR,Post predation,ROUNAK
533,C04-BTR22-137-SH01,Bandhavgarh,2,95,2,0,C04-BTR22-137,Winter,3,8.5,Low,None,Low,No,15,Fresh,25,SHED HAIR,Post predation,ROUNAK
534,C04-BTR22-137-SH02,Bandhavgarh,68,95,64,1,C04-BTR22-137,Winter,3,8.5,Low,None,Low,No,15,Fresh,25,SHED HAIR,Predation,ROUNAK
537,C04-BTR22-138-SH01,Bandhavgarh,5,95,5,0,C04-BTR22-138,Winter,1,9.5,Low,None,Low,No,15,Fresh,5,SHED HAIR,Post predation,ROUNAK
540,C04-BTR22-139-SH01,Bandhavgarh,56,95,52,1,C04-BTR22-139,Winter,0,3,Low,None,Low,No,65,Fresh,35,SHED HAIR,Predation,ROUNAK
541,C04-BTR22-139-SH01,Bandhavgarh,56,95,52,1,C04-BTR22-139,Winter,0,3,Low,None,Low,No,65,Fresh,35,SHED HAIR,Predation,ROUNAK
542,C04-BTR22-139-SH02,Bandhavgarh,106,95,94,1,C04-BTR22-139,Winter,0,3,Low,None,Low,No,65,Fresh,35,SHED HAIR,Post predation,ROUNAK
543,C04-BTR22-139-SH02,Bandhavgarh,106,95,94,1,C04-BTR22-139,Winter,0,3,Low,None,Low,No,65,Fresh,35,SHED HAIR,Post predation,ROUNAK
544,C04-BTR22-139-SH03,Bandhavgarh,51,95,48,1,C04-BTR22-139,Winter,2,3,None,None,None,No,95,Eaten,35,SHED HAIR,Post predation,ROUNAK
548,C04-BTR22-144-SH01,Bandhavgarh,68,95,64,1,C04-BTR22-144,Winter,1,7.5,Low,None,Low,No,5,Fresh,75,SHED HAIR,Post predation,ROUNAK
549,C04-BTR22-144-SH02,Bandhavgarh,75,95,70,1,C04-BTR22-144,Winter,1,7.5,Low,None,Low,No,5,Fresh,75,SHED HAIR,Post predation,ROUNAK
553,C04-BTR22-145-SH01,Bandhavgarh,44,95,42,0,C04-BTR22-145,Winter,2,3.5,Low,None,Low,No,85,Fresh,65,SHED HAIR,Post predation,ROUNAK
554,C04-BTR22-145-SH02,Bandhavgarh,45,95,43,0,C04-BTR22-145,Winter,2,3.5,Low,None,Low,No,85,Fresh,65,SHED HAIR,Post predation,ROUNAK
555,C04-BTR22-145-SH03,Bandhavgarh,80,95,76,1,C04-BTR22-145,Winter,2,3.5,Low,None,Low,No,85,Fresh,65,SHED HAIR,Predation,ROUNAK
556,C04-BTR22-145-SH04,Bandhavgarh,42,95,39,0,C04-BTR22-145,Winter,4,3.5,Low,None,Low,No,95,Eaten,65,SHED HAIR,Post predation,ROUNAK
559,C04-BTR22-147-SH01,Bandhavgarh,0,95,0,0,C04-BTR22-147,Winter,0,4.5,Low,None,None,No,5,Bloated,95,SHED HAIR,Predation,ROUNAK
560,C04-BTR22-147-SH02,Bandhavgarh,66,95,63,1,C04-BTR22-147,Winter,0,4.5,Low,None,None,No,5,Bloated,95,SHED HAIR,Post predation,ROUNAK
565,C04-BTR22-148-SH01,Bandhavgarh,31,95,30,0,C04-BTR22-148,Winter,2,7.5,Low,None,Low,No,85,Eaten,25,SHED HAIR,Post predation,ROUNAK
566,C04-BTR22-148-SH02,Bandhavgarh,65,95,61,1,C04-BTR22-148,Winter,2,7.5,Low,None,Low,No,85,Eaten,25,SHED HAIR,Predation,ROUNAK
568,C04-BTR22-149-SH01,Bandhavgarh,58,95,55,1,C04-BTR22-149,Winter,1,9.5,Medium,None,Medium,No,5,Bloated,0,SHED HAIR,Predation,ROUNAK
569,C04-BTR22-149-SH02,Bandhavgarh,28,95,28,0,C04-BTR22-149,Winter,1,9.5,Medium,None,Medium,No,5,Bloated,0,SHED HAIR,Post predation,ROUNAK
572,C04-BTR22-151-SH01,Bandhavgarh,12,95,12,0,C04-BTR22-151,Winter,2,5.5,Low,None,Low,No,75,Bloated,95,SHED HAIR,Predation,ROUNAK
573,C04-BTR22-151-SH02,Bandhavgarh,35,95,33,0,C04-BTR22-151,Winter,2,5.5,Low,None,Low,No,75,Bloated,95,SHED HAIR,Post predation,ROUNAK
576,C04-BTR22-152-SH01,Bandhavgarh,4,95,4,0,C04-BTR22-152,Winter,0,7.5,Medium,None,Low,No,25,Bloated,75,SHED HAIR,Post predation,ROUNAK
577,C04-BTR22-152-SH02,Bandhavgarh,64,95,60,1,C04-BTR22-152,Winter,0,7.5,Medium,None,Low,No,25,Bloated,75,SHED HAIR,Predation,ROUNAK
579,C04-BTR22-159-SH01,Bandhavgarh,0,95,0,0,C04-BTR22-159,Summer,1,4.5,Low,None,None,No,85,Fresh,65,SHED HAIR,Post predation,ROUNAK
580,C04-BTR22-159-SH02,Bandhavgarh,33,95,31,0,C04-BTR22-159,Summer,1,4.5,Low,None,None,No,85,Fresh,65,SHED HAIR,Post predation,ROUNAK
581,C04-BTR22-159-SH03,Bandhavgarh,5,95,5,0,C04-BTR22-159,Summer,1,4.5,Low,None,None,No,85,Fresh,65,SHED HAIR,Predation,ROUNAK
582,C04-BTR22-163-SH01,Bandhavgarh,60,95,57,1,C04-BTR22-163,Summer,2,7.5,Low,None,Low,No,75,Fresh,75,SHED HAIR,Post predation,ROUNAK
583,C04-BTR22-163-SH02,Bandhavgarh,5,95,5,0,C04-BTR22-163,Summer,2,7.5,Low,None,Low,No,75,Fresh,75,SHED HAIR,Post predation,ROUNAK
584,C04-BTR22-163-SH03,Bandhavgarh,13,95,13,0,C04-BTR22-163,Summer,2,7.5,Low,None,Low,No,75,Fresh,75,SHED HAIR,Predation,ROUNAK
585,C04-BTR22-166-SH01,Bandhavgarh,65,95,60,1,C04-BTR22-166,Summer,1,7.5,Low,None,Low,No,5,Fresh,25,SHED HAIR,Post predation,ROUNAK
586,C04-BTR22-166-SH02,Bandhavgarh,28,95,27,0,C04-BTR22-166,Summer,1,7.5,Low,None,Low,No,5,Fresh,25,SHED HAIR,Post predation,ROUNAK
587,C04-BTR22-166-SH03,Bandhavgarh,63,95,58,1,C04-BTR22-166,Summer,1,7.5,Low,None,Low,No,5,Fresh,25,SHED HAIR,Post predation,ROUNAK
588,C04-BTR22-166-SH04,Bandhavgarh,53,95,49,1,C04-BTR22-166,Summer,1,7.5,Low,None,Low,No,5,Fresh,25,SHED HAIR,Predation,ROUNAK
589,C04-BTR22-167-SH01,Bandhavgarh,27,95,26,0,C04-BTR22-167,Summer,2,7.5,Low,None,Low,No,85,Eaten,95,SHED HAIR,Post predation,ROUNAK
590,C04-BTR22-167-SH02,Bandhavgarh,53,95,50,1,C04-BTR22-167,Summer,2,7.5,Low,None,Low,No,85,Eaten,95,SHED HAIR,Post predation,ROUNAK
591,C04-BTR22-167-SH03,Bandhavgarh,17,95,17,0,C04-BTR22-167,Summer,2,7.5,Low,None,Low,No,85,Eaten,95,SHED HAIR,Predation,ROUNAK
592,C04-BTR22-168-SH01,Bandhavgarh,60,95,58,1,C04-BTR22-168,Summer,2,8.5,Low,None,Low,No,95,Eaten,95,SHED HAIR,Predation,ROUNAK
593,C04-BTR22-168-SH02,Bandhavgarh,45,95,43,0,C04-BTR22-168,Summer,2,8.5,Low,None,Low,No,95,Eaten,95,SHED HAIR,Post predation,ROUNAK
594,C04-BTR22-168-SH03,Bandhavgarh,25,95,25,0,C04-BTR22-168,Summer,2,8.5,Low,None,Low,No,95,Eaten,95,SHED HAIR,Post predation,ROUNAK
595,C04-BTR22-168-SH04,Bandhavgarh,54,95,52,1,C04-BTR22-168,Summer,2,8.5,Low,None,Low,No,95,Eaten,95,SHED HAIR,Post predation,ROUNAK
596,C04-BTR22-169-SH01,Bandhavgarh,6,95,6,0,C04-BTR22-169,Summer,1,8.5,Low,None,Low,No,45,Fresh,45,SHED HAIR,Post predation,ROUNAK
597,C04-BTR22-169-SH02,Bandhavgarh,29,95,27,0,C04-BTR22-169,Summer,1,8.5,Low,None,Low,No,45,Fresh,45,SHED HAIR,Post predation,ROUNAK
598,C04-BTR22-169-SH03-A-B,Bandhavgarh,5,95,5,0,C04-BTR22-169,Summer,1,8.5,Low,None,Low,No,45,Fresh,45,SHED HAIR,Predation,ROUNAK
599,C04-BTR22-171-SH01,Bandhavgarh,1,95,1,0,C04-BTR22-171,Summer,1,4.5,None,None,Low,No,95,Fresh,15,SHED HAIR,Predation,ROUNAK
600,C04-BTR22-171-SH02,Bandhavgarh,5,95,5,0,C04-BTR22-171,Summer,1,4.5,None,None,Low,No,95,Fresh,15,SHED HAIR,Post predation,ROUNAK
601,C04-BTR22-171-SH03,Bandhavgarh,2,95,2,0,C04-BTR22-171,Summer,1,4.5,None,None,Low,No,95,Fresh,15,SHED HAIR,Post predation,ROUNAK
602,C04-BTR22-172-SH01,Bandhavgarh,59,95,54,1,C04-BTR22-172,Summer,2,3.5,Low,None,Low,No,95,Fresh,55,SHED HAIR,Predation,ROUNAK
603,C04-BTR22-172-SH02,Bandhavgarh,4,95,4,0,C04-BTR22-172,Summer,2,3.5,Low,None,Low,No,95,Fresh,55,SHED HAIR,Post predation,ROUNAK
604,C04-BTR22-172-SH03,Bandhavgarh,2,95,2,0,C04-BTR22-172,Summer,2,3.5,Low,None,Low,No,95,Fresh,55,SHED HAIR,Post predation,ROUNAK
605,C04-BTR22-175-SH03,Bandhavgarh,5,95,5,0,C04-BTR22-175,Summer,2,8.5,Medium,Low,Medium,No,55,Bloated,15,SHED HAIR,Post predation,ROUNAK
606,C04-BTR22-175-SH04,Bandhavgarh,25,95,25,0,C04-BTR22-175,Summer,4,8.5,Medium,Low,Low,No,75,Decay,15,SHED HAIR,Post predation,ROUNAK
607,C04-BTR22-177-SH01,Bandhavgarh,73,95,69,1,C04-BTR22-177,Summer,2,6.5,Medium,Medium,Low,No,35,Decay,35,SHED HAIR,Predation,ROUNAK
608,C04-BTR22-177-SH02,Bandhavgarh,49,95,46,1,C04-BTR22-177,Summer,2,6.5,Medium,Medium,Low,No,35,Decay,35,SHED HAIR,Post predation,ROUNAK
609,C04-BTR22-177-SH03,Bandhavgarh,0,95,0,0,C04-BTR22-177,Summer,2,6.5,Medium,Medium,Low,No,35,Decay,35,SHED HAIR,Post predation,ROUNAK
610,C04-BTR22-178-SH01,Bandhavgarh,7,95,7,0,C04-BTR22-178,Summer,1,8.5,Low,Low,Medium,No,45,Bloated,35,SHED HAIR,Predation,ROUNAK
611,C04-BTR22-178-SH02,Bandhavgarh,99,95,92,1,C04-BTR22-178,Summer,1,8.5,Low,Low,Medium,No,45,Bloated,35,SHED HAIR,Post predation,ROUNAK
612,C04-BTR22-178-SH03,Bandhavgarh,81,95,77,1,C04-BTR22-178,Summer,1,8.5,Low,Low,Medium,No,45,Bloated,35,SHED HAIR,Post predation,ROUNAK
619,C04-BTR22-179-SH01,Bandhavgarh,4,95,4,0,C04-BTR22-179,Summer,1,5.5,Low,Low,Medium,No,5,Bloated,65,SHED HAIR,Post predation,ROUNAK
621,C04-BTR22-179-SH02,Bandhavgarh,95,95,90,1,C04-BTR22-179,Summer,1,5.5,Low,Low,Medium,No,5,Bloated,65,SHED HAIR,Post predation,ROUNAK
622,C04-BTR22-179-SH03,Bandhavgarh,7,95,7,0,C04-BTR22-179,Summer,1,5.5,Low,Low,Medium,No,5,Bloated,65,SHED HAIR,Post predation,ROUNAK
627,C04-BTR22-181-SH01,Bandhavgarh,61,95,58,1,C04-BTR22-181,Summer,0,8.5,Low,None,Medium,No,5,Fresh,25,SHED HAIR,Predation,ROUNAK
628,C04-BTR22-181-SH01,Bandhavgarh,61,95,58,1,C04-BTR22-181,Summer,0,8.5,Low,None,Medium,No,5,Fresh,25,SHED HAIR,Predation,ROUNAK
629,C04-BTR22-181-SH02,Bandhavgarh,72,95,68,1,C04-BTR22-181,Summer,0,8.5,Low,None,Medium,No,5,Fresh,25,SHED HAIR,Post predation,ROUNAK
630,C04-BTR22-181-SH02,Bandhavgarh,72,95,68,1,C04-BTR22-181,Summer,0,8.5,Low,None,Medium,No,5,Fresh,25,SHED HAIR,Post predation,ROUNAK
638,C04-BTR22-182-SH01,Bandhavgarh,105,95,95,1,C04-BTR22-182,Summer,0,4.5,None,None,Low,No,5,Fresh,0,SHED HAIR,Post predation,ROUNAK
639,C04-BTR22-182-SH01,Bandhavgarh,105,95,95,1,C04-BTR22-182,Summer,0,4.5,None,None,Low,No,5,Fresh,0,SHED HAIR,Post predation,ROUNAK
640,C04-BTR22-182-SH02,Bandhavgarh,108,95,95,1,C04-BTR22-182,Summer,0,4.5,None,None,Low,No,5,Fresh,0,SHED HAIR,Predation,ROUNAK
641,C04-BTR22-182-SH02,Bandhavgarh,108,95,95,1,C04-BTR22-182,Summer,0,4.5,None,None,Low,No,5,Fresh,0,SHED HAIR,Predation,ROUNAK
