id,mean
1593,512.2
1637,1657.75
1645,1126.727273
1648,393.8181818
1649,344.6666667
1650,381.3297136
1691,1183.555556
1692,1361
1693,1635.555556
1694,1674.416667
1702,916.4444444
1703,499.3333333
1704,408.6666667
1705,520.4444444
1706,393
1707,330.4394516
1748,969.0833333
1749,1057.666667
1750,1309.083333
1751,1510.5625
1758,868.4166667
1759,667
1760,463.1666667
1761,356.1875
1762,433.75
1763,334.25
1764,307.3333333
1805,610.1666667
1806,836.75
1807,1101.083333
1808,1345.5625
1809,830.3333333
1810,421.25
1815,659.5833333
1816,456.8333333
1817,399.75
1818,303.75
1819,325.0833333
1820,281.25
1821,237.8333333
1862,1105.083333
1863,745.5
1864,431.3333333
1865,587.875
1866,395.0833333
1867,568
1872,431.25
1873,327.25
1874,284.25
1875,237.5625
1876,244.1666667
1877,215.9166667
1878,147.75
1919,1621.111111
1920,1202.111111
1921,901.5555556
1922,612.1666667
1923,663.2222222
1924,512.8888889
1925,943.4444444
1926,1309
1927,1060.416667
1928,643
1929,390.5555556
1930,216.5555556
1931,195.3333333
1932,191.5
1933,224.8888889
1934,167.1111111
1935,143.6666667
1977,1408.916667
1978,1600.333333
1979,1250.375
1980,935.0833333
1981,371.4166667
1982,518.3333333
1983,751.1666667
1984,585.125
1985,465.1666667
1986,279.25
1987,188.1666667
1988,174.1666667
1989,164.25
1990,158.4166667
1991,151.3333333
1992,136.8181818
2033,1875.666667
2034,1567.25
2035,1765.666667
2036,1509.125
2037,1167.166667
2038,738.75
2039,241.9166667
2040,182.5
2041,242.3125
2042,263.6666667
2043,177.4166667
2044,157.0833333
2045,154.9166667
2046,150.4375
2047,145
2048,139.8333333
2049,141.6666667
2092,1538.666667
2093,1120.625
2094,1108.5
2095,707.1666667
2096,273
2097,170.6666667
2100,152
2101,148.75
2102,146.0833333
2103,144.5625
2104,141.8333333
2105,137.75
2148,1504.666667
2149,970.6666667
2150,688.8333333
2151,656.7777778
2152,411.7777778
2153,225.5555556
2154,180.5555556
2156,154.3333333
2157,155.4444444
2158,148.3333333
2159,143.5555556
2160,140.6666667
2161,139
2162,131.4444444
2205,1632.083333
2206,1519.75
2207,981.9375
2208,413.1666667
2209,290.25
2210,242.0833333
2211,192.25
2212,152.375
2213,149.5833333
2214,146.9166667
2215,142.3333333
2216,136
2217,134.125
2218,131.75
2262,1031.916667
2263,984.8333333
2264,665
2265,489.75
2266,299.25
2267,252.1666667
2268,202.3333333
2269,153.4375
2270,144.1666667
2271,143.75
2272,138.75
2273,134.25
2274,132.75
2275,131.8333333
2276,128.4166667
2277,127.8571429
2320,988.8
2321,685.625
2322,627.75
2323,279.75
2324,230.5
2325,194.8333333
2326,155
2328,141.4166667
2329,137.8333333
2330,135.5
2331,134.5
2332,132.5
2333,129.8333333
2377,1112.5
2378,633.125
2379,367.4166667
2380,249.8333333
2381,222.9166667
2382,193.1666667
2383,166.5
2384,150.9166667
2385,146.8333333
2386,141.5833333
