id,mean
1327,1807.416667
1329,1475.166667
1330,891.25
1331,876.25
1332,1091.333333
1333,637.5
1334,1463.666667
1335,910.0833333
1336,1047.833333
1337,1624.25
1382,966.75
1383,1647
1386,1628.333333
1387,1750.916667
1388,1222.916667
1389,1325.083333
1390,1083.8125
1391,532
1392,415.5
1393,860.9166667
1394,1138.833333
1439,1032
1440,1024.333333
1441,1609.777778
1445,1870.111111
1446,2117.555556
1447,1615.583333
1448,729.8888889
1449,417.3333333
1450,454.5555556
1451,711.7777778
1452,1252.833333
1454,1834.111111
1455,1342.444444
1496,1223.5
1497,1291.25
1498,1214
1499,1621.3125
1504,1889.75
1505,1201.416667
1506,911.5
1507,676.5833333
1508,472.6666667
1509,656.0625
1510,1230.75
1511,1245.75
1512,1028
1554,1732.833333
1555,1236.75
1556,1617.625
1561,1973.6875
1562,1635.25
1563,1629
1564,1432.166667
1565,902.1666667
1566,452.75
1567,694.5833333
1568,730.9166667
1569,885.6666667
1612,1761.083333
1613,1365.625
1614,1710.333333
1620,1834.5
1621,1594
1622,1427.75
1623,1085.625
1624,938.5
1625,740.1666667
1626,611.6666667
1627,598.0833333
1630,486.25
1631,735
1669,1758.888889
1670,1691.083333
1671,1553.888889
1677,1861.777778
1678,1835.555556
1679,1676.777778
1680,1140.333333
1681,1471.777778
1682,1199
1683,1246.555556
1684,1010.777778
1685,820.5833333
1686,954.8888889
1687,923.5555556
1688,975.6666667
1689,1204.25
1690,1210.555556
1728,1593.583333
1736,1793.333333
1737,1281.125
1738,1095.416667
1739,1324.666667
1740,1388.416667
1741,1564.25
1742,1429.25
1743,1887.166667
1744,1476.583333
1745,1686.416667
1746,1495.0625
1747,932.9166667
1786,1834.416667
1794,1768
1795,1268.916667
1796,910.5833333
1797,926.1666667
1798,1011.5
1799,1554.0625
1800,1902
1801,1880.083333
1802,1596.333333
1803,1194.625
1804,697.5
1848,1860.083333
1849,1790.666667
1852,1271.416667
1853,1084.666667
1854,1089.833333
1855,971.75
1856,855.4375
1857,1119
1858,1275.166667
1859,871.5
1860,931.3125
1861,1200.833333
1906,1758.222222
1907,1536.777778
1908,1329.75
1909,1281.777778
1910,1619.666667
1911,1484.444444
1912,1165.777778
1913,1124.5
1914,747.4444444
1915,611
1916,930.8888889
1917,1485.833333
1918,1567.888889
526,1886.111111
1030,NA
1037,1547.333333
1039,1272.833333
1095,1153.8125
1096,908.4166667
1151,1595.333333
1152,1246.375
1153,705.3333333
1207,1292.111111
1208,886.2222222
1209,702.1666667
1210,498.3333333
1262,1746
1263,1562.833333
1264,750.6666667
1265,875.75
1266,991.9375
1267,630.1666667
1319,867.75
1320,945
1321,1070.166667
1322,1649.583333
1323,1607.4375
1324,797.9166667
1376,1185.714286
1377,1380.833333
1378,1656.083333
1380,1730.4375
1381,935.1666667
1437,1509.166667
1438,1423.333333
1493,1730.25
1494,1578.625
1495,1750.25
1551,1657.5
1552,1509.5
1607,1825.833333
1963,2016
1964,1675.666667
1965,1736.8125
1966,1496.083333
1969,1401.333333
1970,1503.0625
1971,1117.166667
1972,1011.083333
1973,1069.083333
1974,1367.5625
1975,2038.833333
2022,1819.125
2026,1847.5
2027,2056.5625
2028,1784.833333
2029,1492
2030,1747.25
2031,1515.375
2032,1617.666667
2088,1777.833333
